iter	Passed	Remaining
419	2777	3834
420	2796	3846
421	2820	3862
422	2823	3851
423	2826	3839
424	2828	3826
425	2832	3816
426	2835	3805
427	2839	3794
428	2842	3783
429	2847	3774
430	2850	3763
431	2853	3751
432	2861	3747
433	2865	3737
434	2882	3744
435	2884	3731
436	2887	3720
437	2892	3711
438	2895	3700
439	2898	3688
440	2900	3676
441	2903	3665
442	2944	3702
443	2976	3727
444	2979	3716
445	2983	3705
446	2988	3696
447	2989	3683
448	2991	3670
449	2992	3657
450	2995	3645
451	2997	3634
452	3001	3624
453	3005	3614
454	3038	3639
455	3040	3627
456	3043	3616
457	3046	3605
458	3060	3607
459	3062	3595
460	3092	3615
461	3139	3655
462	3141	3644
463	3144	3632
464	3147	3621
465	3164	3625
466	3167	3615
467	3170	3604
468	3173	3592
469	3188	3595
470	3190	3583
471	3217	3599
472	3219	3587
473	3223	3576
474	3226	3566
475	3231	3557
476	3234	3545
477	3236	3533
478	3238	3522
479	3240	3510
480	3246	3502
481	3249	3492
482	3252	3481
483	3255	3470
484	3259	3461
485	3262	3450
486	3265	3439
487	3268	3429
488	3271	3418
489	3276	3410
490	3277	3398
491	3280	3387
492	3283	3376
493	3285	3365
494	3289	3356
495	3293	3346
496	3297	3337
497	3301	3328
498	3306	3319
499	3310	3310
500	3315	3302
501	3319	3293
502	3322	3283
503	3325	3272
504	3327	3261
505	3330	3251
506	3333	3241
507	3336	3231
508	3338	3220
509	3341	3210
510	3343	3199
511	3346	3189
512	3354	3184
513	3357	3174
514	3360	3164
515	3362	3154
516	3376	3154
517	3381	3146
518	3386	3138
519	3388	3127
520	3390	3117
521	3393	3107
522	3397	3098
523	3401	3089
524	3404	3080
525	3407	3070
526	3411	3061
527	3415	3053
528	3418	3043
529	3421	3034
530	3423	3024
531	3427	3015
532	3429	3005
533	3433	2996
534530	3702	3270
531	3726	3278
532	3744	3281
533	3761	3282
534	3763	3271
535	3766	3260
536	3772	3252
537	3775	3242
538	3778	3231
539	3781	3221
540	3787	3213
541	3790	3202
542	3791	3191
543	3796	3182
544	3804	3176
545	3807	3165
546	3810	3155
547	3812	3144
548	3816	3135
549	3838	3140
550	3854	3140
551	3880	3149
552	3883	3138
553	3886	3128
554	3891	3119
555	3894	3109
556	3896	3098
557	3898	3088
558	3901	3077
559	3904	3067
560	3907	3057
561	3909	3046
562	3912	3037
563	3915	3026
564	3918	3016
565	3956	3033
566	3958	3023
567	3961	3012
568	3967	3005
569	3969	2994
570	3972	2984
571	3975	2974
572	4003	2983
573	4006	2973
574	4009	2963
575	4051	2982
576	4053	2971
577	4055	2961
578	4058	2950
579	4061	2941
580	4065	2931
581	4091	2938
582	4132	2955
583	4134	2945
584	4137	2934
585	4150	2932
586	4189	2947
587	4192	2937
588	4196	2928
589	4199	2918
590	4249	2940
591	4252	2930
592	4255	2920
593	4263	2913
594	4264	2902
595	4267	2892
596	4270	2882
597	4275	2873
598	4277	2863
599	4343	2895
600	4346	2885
601	4348	2874
602	4351	2864
603	4353	2854
604	4357	2845
605	4360	2835
606	4376	2833
607	4378	2823
608	4379	2812
609	4382	2801
610	4384	2791
611	4388	2782
612	4392	2772
613	4394	2762
614	4396	2751
615	4398	2741
616	4400	2731
617	4404	2722
618	4457	2743
619	4461	2734
620	4462	2723
621	4465	2713
622	4468	2703
623	4471	2694
624	4474	2684
625	4476	2674
626	4479	2664
627	4481	2654
628	4485	2645
629	4523	2656
630	4525	2646
631	4528	2636
632	4544	2634
633	4547	2625
634	4552	2616
635	4554	2606
636	4557	2597
637	4559	2587
638	4562	2577
639	4615	2596
640	4620	2587
641	4622	2577
642	4625	2567
643	4627	2558
644	4631	2549
645	4634	2539
646	4637	2530
647	4639	2520
648	4657	2518
649	4685	2522
650	4688	2513
651	4691	2503
652	4696	2495
653	4751	2514
654	4824	2541
655	4832	2534
656	4834	2524
657	4838	2515
658	4869	2519
659	4880	2514
660	4883	2504
661	4885	2494
662	4888	2484
663	4892	2475
664	4895	2466
665	4897	2456
666	4900	2446
667	4902	2436
668	4944	2446
669	4946	2436
670	4949	2426
671	4952	2417
672	4958	2409
673	4961	2399
674	4963	2390
675	4966	2380
676	4969	2370
677	4973	2362
678	4999	2363
679	5001	2353
680	5006	2345
681	5012	2337
682	5015	2327
683	5017	2318
684	5020	2308
685	5022	2298
