iter	Logloss
0	0.6869878745
1	0.6810374963
2	0.6744776263
3	0.6687460602
4	0.6625865207
5	0.657420226
6	0.6519873572
7	0.6471467128
8	0.6418865389
9	0.6369839716
10	0.6328693246
11	0.627703456
12	0.6228880176
13	0.6187037569
14	0.6147151653
15	0.6103118323
16	0.6054773752
17	0.6022886625
18	0.5980128881
19	0.5945182613
20	0.5922555103
21	0.5881175732
22	0.5836029774
23	0.5794959667
24	0.5751745632
25	0.5714356291
26	0.5682425588
27	0.5646234181
28	0.561307094
29	0.5585588394
30	0.5552434723
31	0.5514248441
32	0.5476263935
33	0.5442550714
34	0.5416297564
35	0.5398030072
36	0.5380364181
37	0.5345883748
38	0.5313333843
39	0.5299124744
40	0.5267729794
41	0.523599562
42	0.5211820831
43	0.5185390644
44	0.5155635466
45	0.5128353921
46	0.5102048135
47	0.507601427
48	0.5054668785
49	0.502902877
50	0.5005294577
51	0.4980625283
52	0.4952241869
53	0.492720976
54	0.4905422351
55	0.488819846
56	0.4865442554
57	0.4840658587
58	0.4818289669
59	0.4800013767
60	0.4779387549
61	0.4760583771
62	0.4739005363
63	0.4720185328
64	0.4704672036
65	0.4684266597
66	0.4666559536
67	0.4649510255
68	0.4637538554
69	0.4619187914
70	0.4602879535
71	0.4598422182
72	0.4580083885
73	0.457345366
74	0.4555664858
75	0.4539147753
76	0.452268784
77	0.4515442552
78	0.4500736924
79	0.4487364782
80	0.4470546832
81	0.4458530521
82	0.4453096353
83	0.4437729463
84	0.4422769057
85	0.4410504639
86	0.4399609455
87	0.4386206417
88	0.4374686857
89	0.4363844329
90	0.4351685644
91	0.4338368547
92	0.433181742
93	0.4320580881
94	0.4308461456
95	0.4303657362
96	0.4294606417
97	0.4282197857
98	0.4276176301
99	0.4264227674
100	0.4254632305
101	0.4245511867
102	0.4234631485
103	0.4225076669
104	0.4215557577
105	0.4203224378
106	0.4192857741
107	0.4186192152
108	0.4182998564
109	0.4178041445
110	0.4174974896
111	0.4168783542
112	0.4162752276
113	0.4152873838
114	0.4147753702
115	0.4142116	0.4132211371
117	0.4127360256
118	0.4118980535
119	0.4109972408
120	0.4100379663
121	0.4092824095
122	0.4087900174
123	0.4079846548
124	0.407344343
125	0.4066101876
126	0.4058952363
127	0.4051000082
128	0.4042989775
129	0.4036299405
130	0.4027519555
131	0.4021902333
132	0.4013959952
133	0.4008463956
134	0.4005034891
135	0.4003363906
136	0.3997164145
137	0.399124763
138	0.398888544
139	0.3984673894
140	0.3980178591
141	0.3973338711
142	0.3966799508
143	0.3959992144
144	0.3955332527
145	0.3953975982
146	0.3947798602
147	0.3942675034
148	0.3936232571
149	0.3929247463
150	0.3926183674
151	0.3922510935
152	0.3921337016
153	0.3918935649
154	0.3912283674
155	0.3906325443
156	0.3902409722
157	0.3895535997
158	0.3890640507
159	0.3883348207
160	0.3878411605
161	0.38753237
162	0.386782475
163	0.3865162059
164	0.386411118
165	0.3859324472
166	0.3854135449
167	0.3850770286
168	0.3849467544
169	0.3844883215
170	0.3844359595
171	0.3839616195
172	0.3835076774
173	0.383002526
174	0.3827015424
175	0.3824428995
176	0.3821798494
177	0.3817770003
178	0.3817004691
179	0.3815558335
180	0.3814240672
181	0.3812623746
182	0.3810832139
183	0.3808635117
184	0.3805292407
185	0.3802155062
186	0.3801512947
187	0.3797240154
188	0.3795049134
189	0.3793027906
190	0.3791459005
191	0.3784896575
192	0.3780794109
193	0.3776942824
194	0.377164578
195	0.3769061208
196	0.376497625
197	0.3761298568
198	0.3757450219
199	0.3752091509
200	0.3750747626
201	0.3748860608
202	0.3745701619
203	0.3744864275
204	0.3741401623
205	0.373967671
206	0.3736131718
207	0.3732490749
208	0.3731790338
209	0.3728659287
210	0.3727826659
211	0.3724791337
212	0.3722566513
213	0.371985235
214	0.3718928935
215	0.371443274
216	0.3710939391
217	0.3707979642
218	0.3705595073
219	0.3703685917
220	0.3701281377
221	0.3698579921
222	0.3696128723
223	0.3694782673
224	0.3691241878
225	0.3687421705
226	0.3684015478
227	0.3681871206
228	0.3678650028
229	0.367460286
230	0.3671415193
231	0.3669110465
232	0.3665356837
233	0.3662977578
234	0.3660003898
235	0.3658039941
236	0.3656049385
237	0.365231
238	0.3649886104
239	0.3646999335
240	0.3644839289
241	0.3643988169
242	0.3640062552
243	0.3637461821
244	0.3636024779
245	0.3632765034
246	0.3631141141
247	0.3627360531
248	0.3623854535
249	0.3621605071
250	0.3619194827
251	0.3618815746
252	0.3617351779
253	0.3614099006
254	0.3611639138
255	0.3610229957
256	0.3607223377
257	0.3603726171
258	0.3601123869
259	0.3598511125
260	0.3595219319
261	0.3591648086
262	0.3590237589
263	0.3586976197
264	0.3586520047
265	0.3583328092
266	0.3580830089
267	0.3580392982
268	0.3580216183
269	0.3579315877
270	0.3576661586
271	0.3574924141
272	0.3572550313
273	0.3569636223
274	0.3567245603
275	0.3564571244
276	0.3561935039
277	0.3561622961
278	0.356126019
279	0.3558556485
280	0.3557641678
281	0.3556529307
282	0.3556393723
283	0.3555205967
284	0.3552344934
285	0.3550612911
286	0.3548254169
287	0.3545482127
288	0.3542538669
289	0.3540856492
290	0.3538551142
291	0.3538293265
292	0.3537828287
293	0.3536422072
294	0.3533306976
295	0.3531798666
296	0.3531004053
297	0.3528648406
298	0.3525921093
299	0.3523844649
300	0.352225627
301	0.3521335785
302	0.3519042685
303	0.3517191303	0.3524266914
304	0.3522168386
305	0.3519859471
306	0.3518488235
307	0.3517016009
308	0.3515559557
309	0.3512623126
310	0.3511994836
311	0.3510064693
312	0.3508041704
313	0.3506243866
314	0.3503238055
315	0.3501666433
316	0.350077437
317	0.3498493354
318	0.3495889653
319	0.3495483678
320	0.3492959457
321	0.3490435447
322	0.3489178208
323	0.3487010908
324	0.3486847157
325	0.3485083754
326	0.3482754653
327	0.3480457295
328	0.3478687089
329	0.3478333238
330	0.3477780822
331	0.3475885547
332	0.3474232801
333	0.3472506355
334	0.3470572526
335	0.3469118965
336	0.3467435922
337	0.3465999338
338	0.3465172539
339	0.3463712053
340	0.3461325272
341	0.3460296932
342	0.3457862172
343	0.3456783676
344	0.3456530962
345	0.3453914969
346	0.3453081273
347	0.3450942374
348	0.3448811241
349	0.344760169
350	0.3447247494
351	0.3446759452
352	0.3446515779
353	0.3446463007
354	0.3445268308
355	0.3444500521
356	0.3444247555
357	0.3443100892
358	0.3441432587
359	0.3440688517
360	0.3438367486
361	0.343634844
362	0.3434770811
363	0.3433256091
364	0.3431336602
365	0.3428782256
366	0.342710126
367	0.3425319711
368	0.3424452311
369	0.3423031072
370	0.3421874558
371	0.3421549071
372	0.3420646487
373	0.3420120377
374	0.341930207
375	0.3417344357
376	0.3415431756
377	0.3413251595
378	0.3411750743
379	0.3410784377
380	0.3410570058
381	0.340907247
382	0.3407331911
383	0.34384	0.3569671681
385	0.3568457768
386	0.3567772386
387	0.3566229663
388	0.3565494342
389	0.3563555977
390	0.3561695212
391	0.3561226996
392	0.3560396598
393	0.3559652808
394	0.3558300625
395	0.3555981073
396	0.3555820527
397	0.3554737484
398	0.3552586994
399	0.3551967871
400	0.3550104164
401	0.35494499
402	0.3548213623
403	0.3546140931
404	0.3544877405
405	0.3543782619
406	0.3543406	0.3384664368
407	0.3383699925
408	0.3381744225
409	0.3380488261
410	0.3379045471
411	0.3378679276
412	0.3377620264
413	0.3377596018
414	0.337667278
415	0.3375304208
416	0.3375190354
417	0.3374171847
418	0.3373151675
419	0.3372682504
420	0.3370873064
421	0.3369073212
422	0.3367666386
423	0.3367047982
424	0.3366886163
425	0.3366217212
426	0.3365771523
427	0.3363520551
428	0.336248089
