Modelname,STrain,SValid,Pclass,Sex,Age,SibSp,Parch,Fare,C,Q,S,Name,Ticket,Cabin,Embarked,Age_Code,Age_Code_N,SPublic,Title_Code,Embarked_Code,Search,CV,Bestparams,Title,FareBin,Fare_Code,Vestparams,Family
25,RandomForestClassifier,0.9058988764044944,0.8435754189944135,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,x,x,RS,3,"{'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 110, 'bootstrap': True}",x,x,x,x,x
26,RandomForestClassifier,0.9073033707865168,0.8379888268156425,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,x,x,BS,3,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 10), ('n_estimators', 200)])",x,x,x,x,x
27,RandomForestClassifier,0.8862359550561798,0.888268156424581,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,0.788,x,x,BS,3,"OrderedDict([('bootstrap', True), ('max_depth', 30), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 10), ('n_estimators', 1800)])",x,x,x,x,x
28,RandomForestClassifier,0.9115,0.9106,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,0.797,x,x,BS,3,"OrderedDict([('bootstrap', True), ('max_depth', 110), ('max_features', 'auto'), ('min_samples_leaf', 1), ('min_samples_split', 10), ('n_estimators', 200)])",x,x,x,x,x
29,ETC,0.9803370786516854,0.8212290502793296,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,x,o,x,x,x,x,x,o,x,x
30,ETC,0.9803370786516854,0.7988826815642458,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,x,x,x,x,x,x,x,o,x,x
31,ETC,0.9803370786516854,0.8212290502793296,o,o,o,o,o,o,x,x,x,x,x,x,x,o,3,x,x,o,x,x,x,x,x,o,x,x
32,ETC,0.9803370786516854,0.7821229050279329,o,o,o,o,o,o,x,x,x,x,x,x,x,o,3,x,x,o,x,x,x,x,x,x,x,x
33,ETC,0.9803370786516854,0.8100558659217877,o,o,o,o,o,o,x,x,x,x,x,x,x,x,3,x,x,o,x,x,x,x,x,o,x,x
34,ETC,0.9691011235955056,0.7877094972067039,o,o,o,o,o,x,x,x,x,x,x,x,x,o,3,x,x,o,x,x,x,x,x,o,x,x
35,ETC,0.8651685393258427,0.8268156424581006,o,o,o,o,o,o,x,x,x,x,x,x,x,o,3,x,x,o,RS,5,x,x,x,o,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 20}",x
36,Ensemble,0.9932659932659932,0.9932659932659932,o,o,o,o,o,o,x,x,x,x,x,x,x,o,3,x,x,o,x,x,x,x,x,x,x,x
37,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
38,GBC,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
39,GBC,0.8426966292134831,0.7932960893854749,o,o,o,o,o,o,o,o,o,x,x,x,x,o,3,x,x,o,x,x,x,x,x,x,x,o
40,GBC,0.8426966292134831,0.7932960893854749,o,o,o,x,x,o,o,o,o,x,x,x,x,o,3,x,x,o,x,x,x,x,x,x,x,o
41,GBC,0.8356741573033708,0.8100558659217877,o,o,o,x,x,x,o,o,o,x,x,x,x,x,3,x,x,o,x,x,x,x,x,x,x,o
42,GBC,0.8356741573033708,0.8100558659217877,o,o,o,x,x,x,o,o,o,x,x,x,x,x,3,x,x,x,x,x,x,x,x,x,x,o
43,GBC,0.8960674157303371,0.8212290502793296,o,o,o,x,x,x,o,o,o,x,x,x,x,x,3,x,o,x,BS,5,x,x,x,x,x,o
44,GBC,0.8960674157303371,0.8212290502793296,o,o,o,x,x,x,o,o,o,x,x,x,x,x,3,x,o,x,BS,5,x,x,x,x,x,o
45,GBC,0.8960674157303371,0.8212290502793296,o,o,o,x,x,x,o,o,o,x,x,x,x,x,3,x,o,x,BS,5,"OrderedDict([('max_depth', 50), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 10), ('n_estimators', 200)])",x,x,x,x,o
46,ETC,0.9831460674157303,0.8268156424581006,o,o,o,o,o,o,x,x,x,x,x,x,x,o,3,x,o,o,x,x,x,x,x,o,x,o
